ID,Summary,Severity,CVSS_Score,CVE_Aliases,CWE_IDs,Ecosystem,Package_Name,Version_Introduced,Version_Fixed,Published,Modified
GHSA-232v-j27c-5pp6,REC in MCPJam inspector due to HTTP Endpoint exposes,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVE-2026-23744,CWE-306,npm,@mcpjam/inspector,0,1.4.3,2026-01-16T21:15:35Z,2026-01-16T21:57:08Z
GHSA-23f4-hfmq-94mj,Quick-Media Batik Codec FIX Package has Buffer Overflow Vulnerability in PNG Codec,MODERATE,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:N/VI:L/VA:L/SC:N/SI:N/SA:N/S:N/AU:Y/R:U/V:C/RE:M/U:Amber,CVE-2026-24807,CWE-120; CWE-190,Maven,com.github.liuyueyi.media:batik-codec-fix,0,,2026-01-27T09:30:30Z,2026-01-28T15:58:39Z
GHSA-23hh-2f47-3p4h,MineAdmin has Incorrect Privilege Assignment,LOW,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,CVE-2026-1193,CWE-266,Packagist,mineadmin/mineadmin,1.0.0,,2026-01-20T00:30:27Z,2026-02-05T22:00:27Z
GHSA-2497-gp99-2m74,Pterodactyl endlessly reprocesses/reuploads activity log data due to SQLite max parameters limit not being considered,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,CVE-2026-21696,CWE-400; CWE-770,Go,github.com/pterodactyl/wings,1.7.0,1.12.0,2026-01-20T16:30:54Z,2026-02-02T22:22:03Z
GHSA-253q-9q78-63x4,Clatter has a PSK Validity Rule Violation issue,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:N/SC:N/SI:N/SA:N/E:U,CVE-2026-24785,CWE-327,crates.io,clatter,0,2.2.0,2026-01-28T16:21:03Z,2026-01-28T16:21:03Z
GHSA-255j-qw47-wjh5,Craft CMS vulnerable to potential authenticated Remote Code Execution via malicious attached Behavior,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:H/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,CVE-2025-68455,CWE-470,Packagist,craftcms/cms,5.0.0-RC1,5.8.21,2026-01-05T18:50:14Z,2026-01-06T15:52:18Z
GHSA-25mh-hp8x-cgrv,KubeVirt Guest Agent DoS via Excessive Network Interface Reports,MODERATE,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:N/I:L/A:L,CVE-2025-14525,CWE-770,Go,kubevirt.io/kubevirt,0,,2026-01-26T21:30:36Z,2026-01-27T21:29:13Z
GHSA-2657-3c98-63jq,esm.sh has a path traversal in extractPackageTarball enables file writes from malicious packages,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N/E:P,CVE-2026-23644,CWE-22,Go,github.com/esm-dev/esm.sh,0.0.1,,2026-01-20T17:21:49Z,2026-02-27T22:06:18Z
GHSA-2733-6c58-pf27,deepHas vulnerable to Prototype Pollution via constructor.prototype,CRITICAL,CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H,CVE-2026-25047,CWE-1321,npm,deephas,0,1.0.8,2026-01-29T22:21:32Z,2026-02-27T20:45:38Z
GHSA-273p-m2cw-6833,Rekor's COSE v0.0.1 entry type nil pointer dereference in Canonicalize via empty Message,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,CVE-2026-23831,CWE-476,Go,github.com/sigstore/rekor,0,1.5.0,2026-01-22T18:41:23Z,2026-01-23T15:46:17Z
